,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jinchang,38.5,102.17,60.91,45,100,27.36,CN,1598652218
1,Noumea,-22.28,166.46,68.0,82,100,1.12,NC,1598652185
2,Rikitea,-23.12,-134.97,68.83,67,0,5.48,PF,1598652063
3,Arraial do Cabo,-22.97,-42.03,71.6,83,0,14.99,BR,1598652091
4,Japura,-0.32,102.35,73.54,89,100,2.21,ID,1598652219
5,Bluff,-46.6,168.33,45.0,72,88,11.01,NZ,1598652219
6,Gangāwati,15.43,76.53,74.28,83,100,11.56,IN,1598652219
7,Mataura,-46.19,168.86,45.0,72,27,11.01,NZ,1598652220
8,Narsaq,60.92,-46.05,60.8,59,100,21.92,GL,1598652220
9,Punta Arenas,-53.15,-70.92,32.0,91,16,41.38,CL,1598652220
10,Bambous Virieux,-20.34,57.76,71.6,78,40,8.05,MU,1598652220
11,Saiki,32.95,131.9,79.77,80,35,2.55,JP,1598652221
12,Khatanga,71.97,102.5,52.9,57,13,5.48,RU,1598652221
13,Albany,42.6,-73.97,77.0,65,62,5.21,US,1598652221
14,Jamestown,42.1,-79.24,78.01,73,75,5.82,US,1598652221
15,Saiha,22.48,92.97,68.29,93,51,1.99,IN,1598652222
16,Hobart,-42.88,147.33,53.6,62,75,18.34,AU,1598652018
17,Geraldton,-28.77,114.6,55.4,71,40,8.05,AU,1598652222
18,Lata,40.16,-8.33,64.99,76,93,3.0,PT,1598652222
19,Kāvali,14.92,79.98,83.14,71,100,4.85,IN,1598652223
20,Bereket,39.24,55.52,74.93,21,0,8.12,TM,1598652223
21,Kalianget,-7.05,113.93,79.43,77,11,9.31,ID,1598652223
22,Klaksvík,62.23,-6.59,44.6,87,75,4.7,FO,1598652224
23,College,64.86,-147.8,55.99,81,75,0.87,US,1598652073
24,Mīnāb,27.15,57.08,91.4,63,40,4.7,IR,1598652224
25,Saskylakh,71.92,114.08,52.57,63,0,3.36,RU,1598652059
26,Buraidah,26.33,43.98,91.4,22,0,12.75,SA,1598652225
27,Upernavik,72.79,-56.15,40.71,70,0,16.11,GL,1598652225
28,Tuktoyaktuk,69.45,-133.04,50.0,66,20,12.75,CA,1598652225
29,Xining,36.62,101.77,60.03,66,100,4.07,CN,1598652225
30,Karratha,-20.74,116.85,76.98,28,20,12.46,AU,1598652226
31,Bethel,41.37,-73.41,82.99,48,1,4.7,US,1598652098
32,Atuona,-9.8,-139.03,77.81,79,70,23.11,PF,1598652064
33,Barrow,71.29,-156.79,37.4,83,90,14.99,US,1598652226
34,Chui,-33.7,-53.46,57.24,97,44,5.44,UY,1598652227
35,Ushuaia,-54.8,-68.3,33.8,93,75,18.34,AR,1598652191
36,Cayenne,4.93,-52.33,80.6,88,29,2.24,GF,1598652007
37,Busselton,-33.65,115.33,45.0,76,21,13.24,AU,1598652227
38,Sergeevka,53.88,67.42,62.29,89,74,6.11,KZ,1598652227
39,Diré,12.28,-10.97,75.16,93,100,1.12,ML,1598652228
40,Ponta Delgada,37.73,-25.67,75.2,88,20,10.29,PT,1598652228
41,Marsh Harbour,26.54,-77.06,84.54,74,65,2.82,BS,1598652228
42,Qaanaaq,77.48,-69.36,40.15,87,100,5.53,GL,1598652094
43,Souillac,-20.52,57.52,71.6,78,40,8.05,MU,1598652229
44,Yangi Marg`ilon,40.43,71.72,66.2,63,0,6.93,UZ,1598652116
45,Hithadhoo,-0.6,73.08,81.61,67,100,11.56,MV,1598652073
46,Saint George,37.1,-113.58,102.99,10,1,6.93,US,1598652217
47,Anito,12.45,125.29,78.89,88,100,9.6,PH,1598652229
48,Mayor Pablo Lagerenza,-19.93,-60.77,91.53,28,1,5.77,PY,1598652229
49,Gushikawa,26.35,127.87,80.6,94,40,3.36,JP,1598652157
50,Anadyr,64.75,177.48,51.8,76,75,2.24,RU,1598652230
51,Castro,-24.79,-50.01,60.89,77,0,2.1,BR,1598652036
52,Tandil,-37.32,-59.13,61.0,83,65,3.0,AR,1598652007
53,Lompoc,34.64,-120.46,72.0,64,1,14.99,US,1598652005
54,Hilo,19.73,-155.09,84.2,51,1,9.17,US,1598652045
55,Kapaa,22.08,-159.32,84.99,74,75,9.17,US,1598651942
56,Hermanus,-34.42,19.23,48.99,89,28,5.99,ZA,1598652231
57,Poronaysk,49.22,143.12,55.62,90,95,9.95,RU,1598652231
58,Quepos,9.42,-84.17,73.4,73,75,6.93,CR,1598652231
59,Mogwase,-25.18,27.27,68.34,30,97,4.72,ZA,1598652232
60,San Ramon,37.78,-121.98,89.01,31,1,6.93,US,1598651953
61,Westport,41.14,-73.36,84.2,54,1,14.99,US,1598652232
62,Nioro,13.35,-15.75,76.42,93,100,4.9,GM,1598652232
